;PhyloTree.org - mtDNA tree Build 17 (18 Feb 2016);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3b2b; 9053  9067  15550 ;;;;;;;;;;;;;;;NA18916;DQ112746
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3b3; 185  189  6527  9007  13934  14182  16048 ;;;;;;;;;;;;;;;;JQ703986;NA18858
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3f; 3396  4218  15514  16209 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3f1; 5601  9950 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f1a; 3693  4350  5194  14148  15106 ;;;;;;;;;;;;;;;EU092891;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3f1a1; 3197  12507 ;;;;;;;;;;;;;;JN655809;DQ341078
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f1b; 189  (200)  1822  7819A  8527  8932  11440  14769  16311 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; 16292 ;;;;;;;;;;;;;;DQ341077;JN655783
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3f1b1; 16295 ;;;;;;;;;;;;;JQ044831;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3f1b1a; 8410  10070  16129 ;;;;;;;;;;;;DQ305036;JQ704670
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3f1b1a1; 272 ;;;;;;;;;;;JX303774;EU092857
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3f1b2; 7235A ;;;;;;;;;;;;;EU092805;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3f1b2a; 16172  16266A ;;;;;;;;;;;;EU935451;EU092953
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; 150 ;;;;;;;;;;;;;NA19172;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3f1b3; 711  6806  7158 ;;;;;;;;;;;;EU092883;NA19213
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3f1b4; 3505 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3f1b4a; 13167  @16292 ;;;;;;;;;;;EU092865;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;L3f1b4a1; 8799 ;;;;;;;;;;EU092912;EU092791
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3f1b4b; 15930 ;;;;;;;;;;;JQ045093;NA18520
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3f1b4c; 16218 ;;;;;;;;;;;EU092704;JQ045084
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3f1b5; 11582 ;;;;;;;;;;;;;GU455415;GU455422
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3f1b6; reserved;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3f2; (745.1T)  16311 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f2a; 152  15479 ;;;;;;;;;;;;;;;JN655784;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3f2a1; 5821  9365  15314 ;;;;;;;;;;;;;;JN655841;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3f2a1a; 1842  16266 ;;;;;;;;;;;;;DQ341076;JN655819
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f2b; 374.1A  2442  5342  11016  12338  15466  15658 ;;;;;;;;;;;;;;;EU092770;EU092877
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3f3; 189  318  959  4643  5181  6602  8158  8251  9932  10604  11770  15940  16176  16234 ;;;;;;;;;;;;;;;;FJ625848;JN655831
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f3a; 16284 ;;;;;;;;;;;;;;;FJ625855;FJ625854
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3f3b; 16188 ;;;;;;;;;;;;;;;FJ625850;DQ341075
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L3c'd; 152  13105 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3c; 195  498.1C  678  3582  4491  5393  7394  9337  9682  12373  14221  14371  14560  14587  16311  16362 ;;;;;;;;;;;;;;;;;EU092660;DQ341074
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3d; 5147  7424  8618  13886  14284  16124 ;;;;;;;;;;;;;;;;;DQ112884;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3d1'2'3'4'5'6; 921 ;;;;;;;;;;;;;;;;EU092898;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d1; 6680 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d1a; 4048  7648  11887 ;;;;;;;;;;;;;;EU092796;NA19316
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d1a1'2; 16319 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d1a1; 1503 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3d1a1a; 150  4203  5471  10640  10915 ;;;;;;;;;;;JN655800;KC911533
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;L3d1a1a1; 3579 ;;;;;;;;;;KC533458;EU092932
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L3d1a1b; 146  195  5162  9452  10837  12406  13884  15106 ;;;;;;;;;;;EU092876;NA18867
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d1a2; 15061 ;;;;;;;;;;;;HM771228;JQ702481
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d1b; 5046 ;;;;;;;;;;;;;;JQ045112;EU092899
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d1b1; 6272 ;;;;;;;;;;;;;DQ341072;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d1b1a; 8014C ;;;;;;;;;;;;JN214459;JN214478
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d1b1b; 151  195  3957 ;;;;;;;;;;;;EU200759;JN655823
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d1b2; 150  4553  15514 ;;;;;;;;;;;;;JQ702420;JQ705077
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d1b3; 146  14634  15110 ;;;;;;;;;;;;;JQ045051;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d1b3a; 16256 ;;;;;;;;;;;;JX303821;JQ044814
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d1c; 3203  9111  11239  12870  13542  16166 ;;;;;;;;;;;;;;EU092762;JQ044862
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d1c1; 5372  9254 ;;;;;;;;;;;;;EU092830;JQ044824
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d1d; 7765  9151  (16256)  (16368) ;;;;;;;;;;;;;;AY195782;DQ112714
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d2; 14272  14584  16111 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d2a; 15115  (16189) ;;;;;;;;;;;;;;HM771170;DQ112713
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d2b; 199 ;;;;;;;;;;;;;;JQ705019;JN655793
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d3; 1719  4688  15061 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d3a; 3498G  8251  10899  11404  (16189)  (16278)  (16304)  (16311) ;;;;;;;;;;;;;;DQ112716;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3d3a1; 15208 ;;;;;;;;;;;;;JX303864;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d3a1a; 2416 ;;;;;;;;;;;;EU092851;EU597526
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3d3a1b; 16000 ;;;;;;;;;;;;JX303836;JX303803
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d3b; 7389 ;;;;;;;;;;;;;;JN655797;AF381998
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d4; 189  195 ;;;;;;;;;;;;;;;NA20296;GU455420
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d4a; 1393  12280 ;;;;;;;;;;;;;;JN655834;FJ460540
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d5; 15799  16362 ;;;;;;;;;;;;;;;JN214479;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3d5a; 7158  12311  15930 ;;;;;;;;;;;;;;NA19121;EU597500
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3d6; 5492  8473  8658  9300  15223 ;;;;;;;;;;;;;;;JQ045091;NA18864
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L3e'i'k'x; 150  10819 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3e; 2352  14212 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3e1; 189  200  6221  6587  14152  15670  15942  16327 ;;;;;;;;;;;;;;;;EU092827;EU092887
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1a; 16185 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1a1; 185  8650  16311 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e1a1a; 3438 ;;;;;;;;;;;;;EU092749;KC533483
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1a2; 152  195  207  5774A  9254  11024  14569  16209 ;;;;;;;;;;;;;;JX303878;EU092867
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1a3; @10398 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e1a3a; 5255  7337 ;;;;;;;;;;;;;KC533488;HM771173
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e1a3b; 10172  12438  16093 ;;;;;;;;;;;;;NA19114;EU092960
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1b; 14926  16325d ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1b1; 16256 ;;;;;;;;;;;;;;JN655794;EU092681
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1b2; 185  @200  8577  12192 ;;;;;;;;;;;;;;KC533453;JX303759
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1c; 3675  5460  8289.1CCCCCTCTACCCCCTCTA  @8701  14323 ;;;;;;;;;;;;;;;EU092879;EU092740
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1d; 152  16176 ;;;;;;;;;;;;;;;HM771171;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1d1; 8703  9300  12738 ;;;;;;;;;;;;;;EU092862;JX303847
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e1d1a; 9327 ;;;;;;;;;;;;;EU092693;JX303886
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1e; 10370 ;;;;;;;;;;;;;;;JQ045096;NA19391
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1e1; 14571A ;;;;;;;;;;;;;;EU092915;AF346980
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1e2; @73  90  97  106-111d  4562  9098 ;;;;;;;;;;;;;;HG01170;DQ282507
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1f; 8281-8289d ;;;;;;;;;;;;;;;JQ704728;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1f1; 16189 ;;;;;;;;;;;;;;HM771135;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e1f1a; 4395  16260 ;;;;;;;;;;;;;HM771172;KC533470
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e1f2; 195  207  4219  7805 ;;;;;;;;;;;;;;JN214448;JQ705521
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e1g; 1442  4844  5498  5618  8093  10490  11318  12215  16172  16399 ;;;;;;;;;;;;;;;JQ044847;JQ045070
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3e2; 195  14905  16320 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e2a; 4823  13105  14869 ;;;;;;;;;;;;;;;EU092769;NA19707
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2a1; 198 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2a1a; 1737  3852  7196  15924 ;;;;;;;;;;;;;DQ305026;DQ305027
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2a1b; 6413 ;;;;;;;;;;;;;DQ305029;JQ702533
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e2a1b1; 16399 ;;;;;;;;;;;;DQ305031;JQ044801
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e2a1b2; 15076  16311 ;;;;;;;;;;;;HM771176;HM771175
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e2a1b3; 14750 ;;;;;;;;;;;;DQ305025;HG01456
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2a2; 10335 ;;;;;;;;;;;;;;JQ045092;EU092926
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2a3; 5102  12414 ;;;;;;;;;;;;;;EU092729;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e2b; 16172  16189 ;;;;;;;;;;;;;;;DQ341071;HM771122
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2b1; 9377 ;;;;;;;;;;;;;;DQ305022;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2b1a; 2483 ;;;;;;;;;;;;;JQ703138;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e2b1a1; 5580 ;;;;;;;;;;;;DQ305021;AF347015
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e2b1a2; 3277  12406 ;;;;;;;;;;;;JX303789;JQ701829
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2b2; 11377 ;;;;;;;;;;;;;;EU092784;EU092777
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; 152 ;;;;;;;;;;;;;;DQ304998;DQ305003
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2b3; 6932 ;;;;;;;;;;;;;DQ305008;DQ305009
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2b4; 10861 ;;;;;;;;;;;;;DQ305000;JN381504
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2b5; 6261 ;;;;;;;;;;;;;NA19238;JQ044972
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e2b6; 146  7370 ;;;;;;;;;;;;;JN655795;NA19147
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2b7; 1927 ;;;;;;;;;;;;;;AF346994;EU935465
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e2b8; 9196 ;;;;;;;;;;;;;;DQ305019;NA19150
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3e3'4'5; @750 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e3'4; 5262 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e3; 195  2000  6524  9554  10667  10816  13101C  16265T ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e3a; 573.XC  10286  12397 ;;;;;;;;;;;;;DQ305012;JN655812
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e3b; 4655  12248  13197  13651  15812 ;;;;;;;;;;;;;DQ305011;DQ305010
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e3b1; 6261 ;;;;;;;;;;;;HM771231;DQ305013
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e3b2; 16527 ;;;;;;;;;;;;AF346967;HM771232
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e3b3; 16465 ;;;;;;;;;;;;JQ044850;JQ044964
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e4; 3915  5584  11257  13749  16051 ;;;;;;;;;;;;;;EU092752;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e4a; 16264 ;;;;;;;;;;;;;EU092695;NA18909
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e4a1; 9490 ;;;;;;;;;;;;JQ705320;JQ045125
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3e5; 398  8392  16041 ;;;;;;;;;;;;;;;KF358485;JN655822
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e5a; 13317 ;;;;;;;;;;;;;;JN214452;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e5a1; 2833 ;;;;;;;;;;;;;EU092821;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L3e5a1a; 431A ;;;;;;;;;;;;KF358475;JN655798
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e5b; 5483 ;;;;;;;;;;;;;;EU092959;KF358486
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; 195 ;;;;;;;;;;;;;;JN655828;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3e5c; 11548 ;;;;;;;;;;;;;KF358482;KF358474
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e5d; 8869  12591 ;;;;;;;;;;;;;;FJ460533;KF358487
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e5e; 15367  16037 ;;;;;;;;;;;;;;KF358472;DQ341070
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3e5f; 12173  15734  16343 ;;;;;;;;;;;;;;KF358481;KF358480
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3i; 7645 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3i1; 10679  11260  13800A  16153 ;;;;;;;;;;;;;;;;NA19437;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3i1a; 15758  (16129)  (@16223) ;;;;;;;;;;;;;;;JN655780;DQ112958
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3i1b; 2158  13687 ;;;;;;;;;;;;;;;DQ341069;EU092923
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3i2; 152  189  5441  8222  14818  15388  16260  16311 ;;;;;;;;;;;;;;;;DQ341068;JN655814
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3k; 152  235  494  3918  6620G  8649  9467  13135  13992  15314 ;;;;;;;;;;;;;;;;;EU092822;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3k1; 735  4313  9007T  9329  13542  13862  16355 ;;;;;;;;;;;;;;;;JQ705310;JN655789
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3x; 3483  5899.XC  6401  8311  8817  13708  16169 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3x1; 204  15172  16278 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3x1a; 5460 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3x1a1; 189  199  5899.XCd ;;;;;;;;;;;;;;NA19446;EF556171
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3x1a2; 13392 ;;;;;;;;;;;;;;JN655779;JN655773
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; 16311 ;;;;;;;;;;;;;;;JN655837;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3x1b; 16256 ;;;;;;;;;;;;;;JN655782;DQ341067
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3x2; (200)  249d  494  9941  16193  16195 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3x2a; 3435  @16223 ;;;;;;;;;;;;;;;EU092944;JN655776
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3x2a1; 368.1AGAA  6392  7129  16086 ;;;;;;;;;;;;;;DQ341066;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3x2a1a; 9180  13681  13722 ;;;;;;;;;;;;;JN655829;EU092684
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3x2b; 650  9254  15758  15928  16243 ;;;;;;;;;;;;;;;EU092818;HQ675033
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L3h; 7861  9575 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3h1; 1719  4388  5300  9509  11590  16311 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3h1a; 5492 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3h1a1; 8047  8485  12432  13708  13926  14110  16192  16298 ;;;;;;;;;;;;;;;JN655830;NA19457
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3h1a2; 8781A ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3h1a2a; 146  4688  4742  8943  12175  12519  14587  15646  16399 ;;;;;;;;;;;;;;JN655840;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L3h1a2a1; 12236  14862 ;;;;;;;;;;;;;AF347000;JN655824
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3h1a2b; 16270 ;;;;;;;;;;;;;;JN655788;EU092753
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L3h1b; 189C  195  10044  14410  16256A ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3h1b1; 16284 ;;;;;;;;;;;;;;;EU092828;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L3h1b1a; 3777  16179 ;;;;;;;;;;;;;;EU092903;JN214458
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L3h1b2; 151  152  294  606  990  8842  9758  12882  13437  16129  16362 ;;;;;;;;;;;;;;;EU092736;GU455418
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L3h2; 150  195  318  3879  5460  5813  5930  8020  9098  9380  9965  11440  12469  13080  13755  16111  16184  16304 ;;;;;;;;;;;;;;;;;JN655801;DQ341080
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;M; 489  10400  14783  15043 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;M1'20'51; 14110 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;M1; 195  6446  6680  12403  12950C  16129  16189  16249  16311 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;M1a; 813  6671 ;;;;;;;;;;;;;;;JQ702955;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;M1a1; 3705  12346  16359 ;;;;;;;;;;;;;;EF060330;EF060331
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;M1a1a; 14182 ;;;;;;;;;;;;;KC152544;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;M1a1a1; 4011  8521  11044  @16249 ;;;;;;;;;;;;JQ704763;EF060315
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;M1a1b; 930  7853 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;M1a1b1; 14769 ;;;;;;;;;;;;KC152556;EF060317
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;M1a1b1a; 5319 ;;;;;;;;;;;EF060321;EF060319
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;M1a1b1b; 13152 ;;;;;;;;;;;KC152591;DQ779928
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;M1a1b1b1; 9053 ;;;;;;;;;;KC152593;DQ779930
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;M1a1b1c; 375G  16289 ;;;;;;;;;;;JQ705802;JQ249907
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;M1a1b2; 1820 ;;;;;;;;;;;;HQ384200;KC152571
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; 16093 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;M1a1c; 1719  6962  9966  12373  13542C ;;;;;;;;;;;;EF556180;EF060322
